Billable Transaction,Billable ~Project~,Forecast Hours,Total Forecasted Hours,~Worker~ for Billable Transactions,Billable Hours,Hours To Bill,Billable Rate,Rate To Bill,Billable Amount,Amount To Bill,~Project Plan Task~ is Billable,~Worker~ Fully Burdened Cost Rate,Estimated Budget,Customer Contract Line,Extended Amount
1.1 Hours on 07/03/2023,Smart Manage Workday,0,340,Carol Li,1.1,0.5,0.00,250.00,0.00,125.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/04/2023,Smart Manage Workday,0,340,Carol Li,1,0.6,0.00,250.00,0.00,150.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/05/2023,Smart Manage Workday,0,340,Carol Li,1,1,0.00,250.00,0.00,250.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/06/2023,Smart Manage Workday,0,340,Carol Li,1,0.3,0.00,250.00,0.00,75.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/07/2023,Smart Manage Workday,0,340,Carol Li,1,1,0.00,250.00,0.00,250.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1.3 Hours on 07/10/2023,Smart Manage Workday,0,340,Carol Li,1.3,0.3,0.00,250.00,0.00,75.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/11/2023,Smart Manage Workday,0,340,Carol Li,1,0.6,0.00,250.00,0.00,150.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
2.1 Hours on 07/12/2023,Smart Manage Workday,0,340,Carol Li,2.1,1,0.00,250.00,0.00,250.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/13/2023,Smart Manage Workday,0,340,Carol Li,1,1.1,0.00,250.00,0.00,275.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/14/2023,Smart Manage Workday,0,340,Carol Li,1,1.3,0.00,250.00,0.00,325.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
